INCIDENT_REPORTED_DATE,CATEGORY,ADDRESS,INCIDENT_ID,Latitude,Longitude
4/6/2005,GRAND THEFT AUTO,"3800 AGNES AVE, LYNWOOD, CA  90262",605-05414-2117,33.917592754839,-118.203333563975
4/6/2005,JUVENILE NON-CRIMINAL,"800 S GAGE AVE, EAST LOS ANGELES, CA  90023",105-03924-0277,34.025344990206,-118.184705021877
4/6/2005,NARCOTICS,"45200 DIVISION ST, LANCASTER, CA",405-06956-1127,34.704384960153,-118.130360226388
4/6/2005,VEHICLE / BOATING LAWS,"AMAR RD AND FOXWORTH AVE, WEST VALINDA, CA",105-05477-1421,34.041206987594,-117.957820984515
4/6/2005,ACCIDENTS TRAFFIC/VEH./BOAT,"44300 15TH ST W, LANCASTER, CA",105-06957-1126,34.682522095968,-118.156685110311
4/6/2005,FRAUD AND NSF CHECKS,"2600 TURNBULL CANYON RD, HACIENDA HEIGHTS, CA",405-05478-1477,33.99610970282,-117.986017077392
4/6/2005,BURGLARY,"2700 RIVER AVE, ROSEMEAD, CA  91770",405-05049-0534,34.061454067833,-118.07303764218
4/6/2005,LARCENY THEFT,"131ST ST AND WILMINGTON AVE, LOS ANGELES, CA",105-05415-2138,33.913341012743,-118.239180016443
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"CENTRAL AVE AND DIAMONDALE DR, CARSON, CA",405-04336-1615,33.848923991364,-118.248609992791
4/6/2005,BURGLARY,"18000 S SUSANA RD, RANCHO DOMINGUEZ, CA",405-04337-1692,33.868313928723,-118.205625732619
4/6/2005,LIQUOR LAWS,"600 GLENDORA AVE, LA PUENTE, CA",105-05479-1433,34.028118770022,-117.950721649055
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"3200 CUDAHY ST, HUNTINGTON PARK, CA",405-05416-2178,33.964513737004,-118.212745043883
4/6/2005,FRAUD AND NSF CHECKS,"8500 SUNSET BLVD, WEST HOLLYWOOD, CA",405-02371-0987,34.093749995387,-118.376679019247
4/6/2005,GRAND THEFT AUTO,"1800 W 152ST, COMPTON, CA",005-05109-2832,33.894067999858,-118.250449988176
4/6/2005,MISCELLANEOUS NON-CRIMINAL,,105-06593-0454,18.776095736,100.773934968
4/6/2005,LARCENY THEFT,"44300 8TH ST E, LANCASTER, CA  93535",405-06958-1133,34.688596518057,-118.114625211482
4/6/2005,LARCENY THEFT,"15400 PARAMOUNT BLVD, PARAMOUNT, CA  90723",105-09264-1368,33.892862135934,-118.159958006756
4/6/2005,BURGLARY,"700 DEEP VALLEY DR, ROLLING HILLS ESTATES, CA  90274",405-01263-1724,33.77018300992,-118.370288991542
4/6/2005,VANDALISM,"1100 WHITEMARSH AVE, COMPTON, CA",405-05110-2811,33.885912994801,-118.237231978326
4/6/2005,FELONIES MISCELLANEOUS,"4200 W ROSECRANS AVE, LAWNDALE, CA  90260",405-03327-0331,33.901849987886,-118.348646526446
4/6/2005,JUVENILE NON-CRIMINAL,"3600 WINTER ST, EAST LOS ANGELES, CA  90063",105-03925-0273,34.04513798174,-118.187090780182
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"2600 E AVENUE I, LANCASTER, CA  93535",105-06959-1135,34.704302695174,-118.083734017836
4/6/2005,FRAUD AND NSF CHECKS,"43400 10TH ST W, LANCASTER, CA",405-06960-1124,34.671279234667,-118.147717006026
4/6/2005,GRAND THEFT AUTO,"FLORENCE AVE AND LA CIENEGA AVE, LOS ANGELES, CA",605-05111-2814,33.963362995518,-118.370628039525
